MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,YawDeg,AngX,AngY,AngZ
800761277620,800759277620,800.76127762,800.75927762,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.46
800771673740,800769673740,800.77167374,800.76967374,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.458
800781886976,800779886976,800.781886976,800.779886976,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.698,3.777,69.456
800792107212,800790107212,800.792107212,800.790107212,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.698,3.777,69.454
800802496623,800800496623,800.802496623,800.800496623,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.452
800812711609,800810711609,800.812711609,800.810711609,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.45
800822972972,800820972972,800.822972972,800.820972972,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.448
800833245711,800831245711,800.833245711,800.831245711,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.446
800843372318,800841372318,800.843372318,800.841372318,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.444
800853755604,800851755604,800.853755604,800.851755604,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.443
800863992757,800861992757,800.863992757,800.861992757,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.44
800874217661,800872217661,800.874217661,800.872217661,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.439
800884406978,800882406978,800.884406978,800.882406978,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.437
800894627506,800892627506,800.894627506,800.892627506,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.435
800904852409,800902852409,800.904852409,800.902852409,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.433
800915081104,800913081104,800.915081104,800.913081104,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.431
800925464974,800923464974,800.925464974,800.923464974,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.429
800935674126,800933674126,800.935674126,800.933674126,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.427
800946062663,800944062663,800.946062663,800.944062663,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.00027870238304138304,4.698,3.777,69.425
800956214645,800954214645,800.956214645,800.954214645,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.0005530213451385522,4.698,3.777,69.423
800966474550,800964474550,800.96647455,800.96447455,-0.066,0.082,0.995,0.0,0.0,-0.122,-0.0006538974893649254,4.698,3.777,69.421
800976621574,800974621574,800.976621574,800.974621574,-0.066,0.082,0.995,0.0,0.0,-0.122,-0.0006297912887155654,4.698,3.777,69.419
800987005735,800985005735,800.987005735,800.985005735,-0.066,0.082,0.995,0.0,0.0,-0.122,-0.0005120358608096668,4.698,3.777,69.417
800997223638,800995223638,800.997223638,800.995223638,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.0005047255239233008,4.698,3.777,69.416
801007425206,801005425206,801.007425206,801.005425206,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.0005756749111406092,4.698,3.777,69.414
801017815493,801015815493,801.017815493,801.015815493,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.0007060315791502595,4.698,3.777,69.412
801028028437,801026028437,801.028028437,801.026028437,-0.066,0.082,0.995,0.0,0.0,-0.122,-0.0007015203184574342,4.697,3.777,69.41
801038280175,801036280175,801.038280175,801.036280175,-0.066,0.082,0.995,0.0,0.0,-0.122,-0.0006006726217832455,4.697,3.777,69.408
801048650919,801046650919,801.048650919,801.046650919,-0.066,0.082,0.995,0.0,0.0,-0.122,-0.00042765656984170274,4.697,3.777,69.406
801058849279,801056849279,801.058849279,801.056849279,-0.066,0.082,0.995,0.0,0.0,0.0,0.00013707289983382127,4.697,3.777,69.404
801069120851,801067120851,801.069120851,801.067120851,-0.066,0.082,0.995,0.0,0.0,-0.183,0.00046948055326684525,4.697,3.777,69.402
801079291501,801077291501,801.079291501,801.077291501,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0006331717339090742,4.697,3.777,69.4
801089675079,801087675079,801.089675079,801.087675079,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0006742517412317681,4.697,3.777,69.399
801099863230,801097863230,801.09986323,801.09786323,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0006275251288927848,4.697,3.777,69.397
801110117885,801108117885,801.110117885,801.108117885,-0.066,0.082,0.995,0.0,0.0,-0.122,0.0006912194599825629,4.697,3.777,69.395
801120360872,801118360872,801.120360872,801.118360872,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0006607183612319409,4.697,3.777,69.393
801130552232,801128552232,801.130552232,801.128552232,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0005625490627955584,4.697,3.777,69.391
801140972270,801138972270,801.14097227,801.13897227,-0.066,0.082,0.995,0.0,0.0,0.0,0.0009483737774421072,4.697,3.777,69.389
801151313762,801149313762,801.151313762,801.149313762,-0.066,0.082,0.995,0.0,0.0,-0.183,0.001145945549667234,4.697,3.777,69.387
801161760177,801159760177,801.161760177,801.159760177,-0.066,0.082,0.995,0.0,0.0,-0.183,0.001211155722830113,4.697,3.777,69.385
801177967930,801175967930,801.17796793,801.17596793,-0.066,0.082,0.995,0.0,0.0,-0.183,0.00117741568449739,4.697,3.777,69.383
801182428036,801180428036,801.182428036,801.180428036,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0010774059859578018,4.697,3.777,69.381
801193169049,801191169049,801.193169049,801.191169049,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0009199954821628873,4.697,3.777,69.379
801203526959,801201526959,801.203526959,801.201526959,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0007327885221051797,4.697,3.777,69.377
801213703734,801211703734,801.213703734,801.211703734,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0005230064818233462,4.697,3.777,69.375
801223995724,801221995724,801.223995724,801.221995724,-0.066,0.082,0.995,0.0,0.0,-0.183,0.00029573533516336385,4.697,3.777,69.373
801234484891,801232484891,801.234484891,801.232484891,-0.066,0.082,0.995,0.0,0.0,-0.183,4.771304917169448e-05,4.697,3.777,69.371
801244726128,801242726128,801.244726128,801.242726128,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.00020261497423342182,4.697,3.777,69.369
801254841942,801252841942,801.254841942,801.252841942,-0.066,0.082,0.995,0.0,0.0,0.0,5.590580716541272e-05,4.697,3.777,69.367
